stock_id,date,close
1597,20260722,129.0
1598,20260722,19.7
1603,20260722,29.05
1604,20260722,23.2
1605,20260722,33.5
1608,20260722,30.45
1609,20260722,37.75
1611,20260722,12.2
1612,20260722,31.4
1614,20260722,31.0
1615,20260722,43.0
1616,20260722,20.05
1617,20260722,19.7
1618,20260722,39.1
1623,20260722,220.0
1626,20260722,10.05
1702,20260722,33.5
1707,20260722,90.6
1708,20260722,54.1
1709,20260722,27.9
1710,20260722,17.55
1711,20260722,37.65
1712,20260722,38.85
1713,20260722,48.15
1714,20260722,15.7
1717,20260722,62.6
1718,20260722,12.35
1720,20260722,63.5
1721,20260722,21.05
1722,20260722,46.5
1723,20260722,85.7
1725,20260722,29.9
1726,20260722,75.5
1727,20260722,80.3
1730,20260722,51.4
1731,20260722,20.6
1732,20260722,27.0
1733,20260722,31.6
1734,20260722,32.85
1735,20260722,20.2
1736,20260722,136.5
1737,20260722,31.8
1752,20260722,31.55
1760,20260722,61.5
1762,20260722,34.9
1773,20260722,169.0
1776,20260722,17.9
1783,20260722,39.9
1786,20260722,50.0
1789,20260722,19.75
1795,20260722,192.5
1802,20260722,55.6
1805,20260722,10.3
1806,20260722,8.38
1808,20260722,31.95
1809,20260722,40.0
1810,20260722,34.15
1817,20260722,38.7
1903,20260722,48.4
1904,20260722,21.45
1905,20260722,14.25
1906,20260722,11.15
1907,20260722,28.05
1909,20260722,10.1
2002,20260722,18.85
2002A,20260722,38.5
2006,20260722,71.1
2007,20260722,7.12
2008,20260722,30.15
2009,20260722,37.85
2010,20260722,21.1
2012,20260722,15.6
2013,20260722,40.65
2014,20260722,17.15
2015,20260722,62.7
2017,20260722,8.94
2020,20260722,21.1
2022,20260722,7.75
2023,20260722,13.85
2024,20260722,13.55
2025,20260722,11.55
2027,20260722,43.75
2028,20260722,15.6
2029,20260722,20.5
2030,20260722,17.4
2031,20260722,39.8
2032,20260722,16.05
2033,20260722,15.3
2034,20260722,19.55
2038,20260722,12.65
2049,20260722,320.5
2059,20260722,8125.0
2062,20260722,18.9
2069,20260722,18.65
2072,20260722,143.5
2101,20260722,33.6
2102,20260722,19.1
2103,20260722,24.15
2104,20260722,10.5
2105,20260722,31.25
2106,20260722,17.7
2107,20260722,25.8
2108,20260722,28.1
2109,20260722,14.55
2114,20260722,87.1
2115,20260722,22.0
2201,20260722,28.1
2204,20260722,55.5
2206,20260722,60.0
2207,20260722,492.0
2208,20260722,20.1
2211,20260722,87.8
2227,20260722,49.55
2228,20260722,80.0
2231,20260722,105.0
2233,20260722,216.0
2236,20260722,153.5
2239,20260722,19.9
2241,20260722,35.05
2243,20260722,52.2
2247,20260722,220.0
2248,20260722,63.6
2250,20260722,62.0
2254,20260722,60.5
2258,20260722,31.8
2301,20260722,218.0
2302,20260722,43.55
2303,20260722,139.0
2305,20260722,33.75
2308,20260722,1880.0
2312,20260722,33.0
2313,20260722,208.0
2314,20260722,12.7
2316,20260722,161.5
2317,20260722,251.5
2321,20260722,15.9
2323,20260722,10.6
2324,20260722,36.2
2327,20260722,703.0
2328,20260722,47.0
2329,20260722,46.8
2330,20260722,2400.0
2331,20260722,20.05
2332,20260722,23.9
2337,20260722,135.0
2338,20260722,43.4
2340,20260722,33.1
2342,20260722,42.95
2344,20260722,171.0
2345,20260722,2285.0
2347,20260722,88.2
2348,20260722,78.8
2348A,20260722,38.0
2349,20260722,11.45
2351,20260722,168.0
2352,20260722,30.4
2353,20260722,30.55
2354,20260722,56.1
2355,20260722,43.25
2356,20260722,61.7
2357,20260722,757.0
2359,20260722,139.0
2360,20260722,2125.0
2362,20260722,43.3
2363,20260722,59.0
2364,20260722,71.4
2365,20260722,30.95
2367,20260722,45.3
2368,20260722,940.0
2369,20260722,36.45
2371,20260722,26.4
2373,20260722,53.3
2374,20260722,67.7
2375,20260722,145.5
2376,20260722,348.0
2377,20260722,155.0
2379,20260722,743.0
2380,20260722,19.1
2382,20260722,329.0
2383,20260722,5125.0
2385,20260722,106.5
2387,20260722,38.7
2388,20260722,74.9
2390,20260722,11.35
2392,20260722,36.0
2393,20260722,67.1
2395,20260722,596.0
2397,20260722,59.3
2399,20260722,39.45
2401,20260722,29.9
2402,20260722,58.6
2404,20260722,1175.0
2405,20260722,16.85
2406,20260722,35.3
2408,20260722,445.5
2409,20260722,25.8
2412,20260722,138.5
